freq,psd_x,psd_y,psd_z,psd_xyz
144.4,3.222e+03,2.780e+03,1.020e+03,7.021e+03
145.9,2.962e+03,2.441e+03,7.420e+02,6.145e+03
147.4,3.166e+03,2.257e+03,7.697e+02,6.193e+03
148.9,3.524e+03,2.200e+03,7.071e+02,6.431e+03
150.4,3.546e+03,2.189e+03,6.399e+02,6.375e+03
151.9,4.188e+03,2.087e+03,5.509e+02,6.826e+03
153.4,5.045e+03,2.157e+03,4.858e+02,7.688e+03
154.9,5.662e+03,1.854e+03,4.649e+02,7.980e+03
156.4,7.510e+03,2.111e+03,4.889e+02,1.011e+04
157.9,1.087e+04,2.706e+03,7.194e+02,1.429e+04
159.4,1.541e+04,3.179e+03,8.783e+02,1.947e+04
160.9,1.832e+04,4.058e+03,1.244e+03,2.363e+04
162.4,2.186e+04,5.139e+03,1.542e+03,2.854e+04
163.9,2.409e+04,6.593e+03,1.804e+03,3.249e+04
165.4,2.507e+04,7.209e+03,1.857e+03,3.413e+04
167.0,2.433e+04,7.546e+03,1.980e+03,3.385e+04
168.5,2.915e+04,8.783e+03,2.616e+03,4.055e+04
170.0,3.071e+04,9.030e+03,2.903e+03,4.264e+04
171.5,3.339e+04,9.205e+03,3.212e+03,4.581e+04
173.0,3.679e+04,9.463e+03,3.617e+03,4.987e+04
174.5,3.416e+04,8.438e+03,2.971e+03,4.557e+04
176.0,3.482e+04,8.028e+03,3.138e+03,4.599e+04
177.5,3.389e+04,7.105e+03,2.954e+03,4.395e+04
179.0,2.982e+04,6.471e+03,2.384e+03,3.868e+04
180.5,2.746e+04,5.607e+03,2.242e+03,3.531e+04
182.0,2.403e+04,4.667e+03,2.163e+03,3.086e+04
183.5,2.401e+04,4.814e+03,1.851e+03,3.067e+04
185.0,2.464e+04,4.540e+03,1.734e+03,3.091e+04
186.5,2.020e+04,4.005e+03,1.212e+03,2.542e+04
188.0,1.979e+04,4.101e+03,1.265e+03,2.516e+04
189.5,1.969e+04,3.910e+03,1.167e+03,2.477e+04
191.0,1.881e+04,3.193e+03,8.634e+02,2.287e+04
192.5,1.923e+04,3.090e+03,6.698e+02,2.299e+04
194.0,1.892e+04,2.497e+03,5.266e+02,2.195e+04
195.5,1.981e+04,2.327e+03,4.431e+02,2.258e+04
197.0,1.953e+04,1.918e+03,5.666e+02,2.202e+04
198.5,1.832e+04,1.659e+03,7.994e+02,2.078e+04
200.0,1.528e+04,1.605e+03,7.817e+02,1.767e+04
201.5,1.335e+04,1.273e+03,7.941e+02,1.541e+04
