freq,psd_x,psd_y,psd_z,psd_xyz
156.6,1.262e+05,3.471e+03,1.704e+03,1.314e+05
158.1,1.111e+05,2.719e+03,1.739e+03,1.155e+05
159.6,7.824e+04,1.855e+03,1.587e+03,8.169e+04
161.1,5.773e+04,1.347e+03,1.340e+03,6.041e+04
162.6,3.869e+04,1.036e+03,1.069e+03,4.080e+04
164.1,2.973e+04,9.352e+02,1.015e+03,3.168e+04
165.7,2.444e+04,7.281e+02,8.661e+02,2.603e+04
167.2,2.387e+04,7.851e+02,7.931e+02,2.544e+04
168.7,2.591e+04,8.561e+02,1.057e+03,2.783e+04
170.2,2.929e+04,8.530e+02,1.115e+03,3.126e+04
171.7,3.571e+04,8.968e+02,1.134e+03,3.774e+04
173.2,3.689e+04,8.955e+02,1.163e+03,3.894e+04
174.7,3.958e+04,1.006e+03,1.139e+03,4.173e+04
176.2,4.065e+04,1.044e+03,1.044e+03,4.273e+04
177.7,4.133e+04,9.270e+02,8.325e+02,4.309e+04
179.2,3.697e+04,1.005e+03,6.784e+02,3.866e+04
180.7,3.321e+04,1.086e+03,6.155e+02,3.492e+04
182.2,3.219e+04,1.035e+03,4.945e+02,3.372e+04
183.7,2.946e+04,1.055e+03,4.422e+02,3.096e+04
185.2,2.813e+04,1.096e+03,4.020e+02,2.963e+04
186.7,2.791e+04,1.018e+03,3.380e+02,2.927e+04
188.2,2.827e+04,1.123e+03,3.529e+02,2.974e+04
189.7,2.827e+04,1.120e+03,3.427e+02,2.973e+04
191.3,2.726e+04,1.056e+03,2.981e+02,2.862e+04
192.8,2.954e+04,1.189e+03,3.251e+02,3.105e+04
194.3,3.116e+04,1.179e+03,3.316e+02,3.267e+04
195.8,3.046e+04,1.224e+03,4.090e+02,3.209e+04
197.3,2.963e+04,1.303e+03,4.173e+02,3.135e+04
198.8,2.748e+04,1.476e+03,4.219e+02,2.937e+04
200.3,2.388e+04,1.577e+03,4.768e+02,2.593e+04
201.8,1.990e+04,1.707e+03,3.555e+02,2.196e+04
